split,model,roc_auc,f1,mcc
random,Logistic Regression,0.9674,0.9121,0.6276
random,Random Forest,0.9647,0.9604,0.7313
random,XGBoost,0.955,0.9557,0.694
random,LightGBM,0.9425,0.9604,0.7313
scaffold,Logistic Regression,0.7737,0.8208,0.3196
scaffold,Random Forest,0.8368,0.8973,0.5152
scaffold,XGBoost,0.8572,0.914,0.5896
scaffold,LightGBM,0.856,0.9149,0.5839
